species,family,FG,FOG,SO,FG.frac,foraging.mode,MPM,PTM,foraging.src,predator.escape,predator.src
Callisaurus_draconoides,Phrynosomatidae,0.7,0.29,0.01,0.71,SW,NA,0.02,Anderson and Karasov 1981,FE,Vitt and Congdon 1978
Cophosaurus_texanus,Phrynosomatidae,0.65,0.33,0.03,0.66,SW,0.46,0.02,Cooper et al. 2005,FE,Vitt and Congdon 1978
Holbrookia_maculata,Phrynosomatidae,0.65,0.32,0.03,0.67,SW,0.44,0.02,Cooper et al. 2005,CE,Vitt and Congdon 1978
Uma_notata,Phrynosomatidae,0.64,0.25,0.11,0.72,SW,NA,2.4,Perry 2007,FE,Punzo 1982
Phrynosoma_modestum,Phrynosomatidae,0.3,0.64,0.06,0.32,SW,0.12,NA,Shaffer and Whitford 1981; Perry 2007,CE,Pianka and Parker 1975; Sherbrooke 1991
Phrynosoma_cornutum,Phrynosomatidae,0.25,0.66,0.08,0.27,SW,NA,NA,Shaffer and Whitford 1981; Perry 2007,CE,Pianka and Parker 1975; Sherbrooke 1991
Phrynosoma_mcallii,Phrynosomatidae,0.31,0.56,0.13,0.36,SW,NA,32,Shaffer and Whitford 1981; Perry 2007,CE,Pianka and Parker 1975; Sherbrooke 1991
Phrynosoma_platyrhinos,Phrynosomatidae,0.23,0.72,0.06,0.24,SW,NA,NA,Shaffer and Whitford 1981; Perry 2007,CE,Pianka and Parker 1975; Sherbrooke 1991
Sceloporus_graciosus,Phrynosomatidae,0.49,0.41,0.11,0.54,SW,1.31,5.8,Perry 1999,ME,Vitt and Price 1982
Sceloporus_magister,Phrynosomatidae,0.41,0.42,0.17,0.49,SW,0.05,0.2,Cooper et al. 2001,ME,Vitt and Congdon 1978
Sceloporus_undulatus,Phrynosomatidae,0.43,0.43,0.15,0.5,SW,0.31,0.4,Cooper et al. 2005,ME,Vitt and Congdon 1978
Sceloporus_virgatus,Phrynosomatidae,0.44,0.45,0.11,0.49,SW,0.4,0.8,Cooper et al. 2001,ME,Vitt and Congdon 1978
Urosaurus_ornatus,Phrynosomatidae,0.45,0.41,0.14,0.52,SW,0.66,2.3,Cooper et al. 2005,ME,Vitt and Congdon 1978
Uta_stansburiana,Phrynosomatidae,0.48,0.46,0.07,0.51,SW,0.2,0.6,Cooper et al. 2001,ME,Vitt and Congdon 1978
Crotaphytus_collaris,Crotaphytidae,0.58,0.37,0.06,0.61,SW,0.09,0,Cooper et al. 2001,FE,Vitt and Congdon 1978
Gambelia_wislizenii,Crotaphytidae,0.58,0.38,0.04,0.6,SW,NA,NA,Miles et al. 2007,FE,Parker and Pianka 1976
Laudakia_stellio,Agamidae,0.37,0.46,0.17,0.45,SW,NA,NA,Miles et al. 2007,FE,Loumbourdis and Hailey 1985
Elgaria_kingii,Anguidae,0.43,0.41,0.16,0.51,AF,NA,NA,Miles et al. 2007,ME,Bowker 1987; Stebbins 2003
Acanthodactylus_scutellatus,Lacertidae,0.6,0.25,0.15,0.71,SW,1,7.7,Perry et al. 1990,FE,Vanhooydonk and Van Damme 2003
Aspidoscelis_tigris,Teiidae,0.76,0.22,0.03,0.78,AF,1.62,87,Anderson 1993,FE,Vitt and Congdon 1978
Carlia_fusca,Scincidae,0.54,0.39,0.07,0.58,MF,2,17.7,Perry 2007,ME,Cogger 2000; Langkilde et al. 2003
Eumeces_fasciatus,Scincidae,0.49,0.38,0.13,0.56,AF,0.6,72.4,Cooper et al. 2001,ME,Stebbins 2003
