"model_type","model_class","AICwt.BM1","AICwt.OU1","AICwt.CD","AICwt.CID+","best_model"
"BMV","CD",0.18,0.17,0.64,0.02,0.62
"OUV","CD",0.03,0.22,0.74,0.02,0.73
"OUA","CD",0.07,0.56,0.31,0.06,0.15
"OUM","CD",0.04,0.02,0.9,0.04,0.92
"OUVA","CD",0.04,0.21,0.7,0.06,0.7
"OUMV","CD",0.02,0.02,0.93,0.03,0.95
"OUMA","CD",0.12,0.15,0.64,0.09,0.66
"OUMVA","CD",0.05,0.13,0.76,0.06,0.76
"OUBM1","CD",0.19,0.58,0.13,0.1,0.08
"OUBMV","CD",0.07,0.2,0.71,0.02,0.73
"BMV","CID",0.36,0.28,0.33,0.03,0.01
"OUV","CID",0.04,0.49,0.43,0.04,0.01
"OUA","CID",0.06,0.56,0.37,0.02,0
"OUM","CID",0.21,0.09,0.03,0.67,0.71
"OUVA","CID",0.07,0.55,0.35,0.04,0.03
"OUMV","CID",0.24,0.19,0.14,0.44,0.44
"OUMA","CID",0.41,0.4,0.13,0.06,0.06
"OUMVA","CID",0.24,0.39,0.21,0.16,0.15
"OUBM1","CID",0.24,0.55,0.16,0.05,0.01
"OUBMV","CID",0.23,0.37,0.3,0.1,0.08
